"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"516",23,1284,8.025e-05,21.5934579439252,NA,"CanopyHeight","Propithecus_candidus","Antanambe_3","Antanambe",3
"517",24,1329,8.30625e-05,20.8713318284424,NA,"CanopyHeight","Propithecus_candidus","Androfiabe_2","Androfiabe",2
"518",25,1631,0.0001019375,21.477621091355,NA,"CanopyHeight","Propithecus_candidus","Ambodihasina_2","Ambodihasina",2
"519",26,1107,6.91875e-05,23.5609756097561,NA,"CanopyHeight","Propithecus_candidus","Antanambe_1","Antanambe",1
"520",27,1619,0.0001011875,22.822112415071,NA,"CanopyHeight","Propithecus_candidus","Ambavala_1","Ambavala",1
"521",28,1377,8.60625e-05,23.400871459695,NA,"CanopyHeight","Propithecus_candidus","Ambavala_2","Ambavala",2
"522",29,2058,0.000128625,23.8960155490768,NA,"CanopyHeight","Propithecus_candidus","Ambavala_3","Ambavala",3
"523",1,589,3.68125e-05,0,0,"ForestLoss","Allocebus_trichotis","Ambodivoara_1","Ambodivoara",1
"524",2,497,3.10625e-05,10,10,"ForestLoss","Allocebus_trichotis","Ambodihasina_1","Ambodihasina",1
"525",3,499,3.11875e-05,4,4,"ForestLoss","Allocebus_trichotis","Ambodimandresy_2","Ambodimandresy",2
"526",4,556,3.475e-05,37,37,"ForestLoss","Allocebus_trichotis","Ambodivoara_3","Ambodivoara",3
"527",5,382,2.3875e-05,0,0,"ForestLoss","Allocebus_trichotis","Ambodivoara_2","Ambodivoara",2
"528",6,646,4.0375e-05,20,20,"ForestLoss","Allocebus_trichotis","Androfiabe_1","Androfiabe",1
"529",7,459,2.86875e-05,28,28,"ForestLoss","Allocebus_trichotis","Ambodimandresy_3","Ambodimandresy",3
"530",8,472,2.95e-05,99,99,"ForestLoss","Allocebus_trichotis","Ambodihasina_3","Ambodihasina",3
"531",9,480,3e-05,7,7,"ForestLoss","Allocebus_trichotis","Befamatra_1","Befamatra",1
"532",10,431,2.69375e-05,0,0,"ForestLoss","Allocebus_trichotis","Befamatra_3","Befamatra",3
"533",11,508,3.175e-05,3,3,"ForestLoss","Allocebus_trichotis","Androfiabe_3","Androfiabe",3
"534",12,528,3.3e-05,6,6,"ForestLoss","Allocebus_trichotis","Betaolana_3","Betaolana",3
"535",13,515,3.21875e-05,49,49,"ForestLoss","Allocebus_trichotis","Ambodivoara_5","Ambodivoara",5
"536",14,487,3.04375e-05,0,0,"ForestLoss","Allocebus_trichotis","Betaolana_2","Betaolana",2
"537",15,678,4.2375e-05,20,20,"ForestLoss","Allocebus_trichotis","Betaolana_1","Betaolana",1
